"","team","zone1att","zone2att","zone3att","zone1make","zone2make","zone3make","zone1dis","zone2dis","zone3dis","zone1eFG","zone2eFG","zone3eFG"
"1","Team A",194,68,18,95,21,9,0.692857142857143,0.242857142857143,0.0642857142857143,0.489690721649485,0.463235294117647,0.75
"2","Team B",150,62,12,67,21,4,0.669642857142857,0.276785714285714,0.0535714285714286,0.446666666666667,0.508064516129032,0.5
